ProductCategoryName,ProductCategoryNameEnglish,ProductCategoryNameFarsi
beleza_saude,health_beauty,زیبایی و سلامت
informatica_acessorios,computers_accessories,لوازم جانبی کامپیوتر
automotivo,auto,اتوماتیک
cama_mesa_banho,bed_bath_table,میز حمام تختخواب
moveis_decoracao,furniture_decor,دکور مبلمان
esporte_lazer,sports_leisure,اوقات فراغت ورزشی
perfumaria,perfumery,عطر
utilidades_domesticas,housewares,لوازم خانه
telefonia,telephony,تلفن
relogios_presentes,watches_gifts,ساعت هدیه
alimentos_bebidas,food_drink,غذا نوشیدنی
bebes,baby,بچه
papelaria,stationery,لوازم التحرير
tablets_impressao_imagem,tablets_printing_image,قرص تصویر چاپ
brinquedos,toys,اسباب بازی
telefonia_fixa,fixed_telephony,تلفن ثابت
ferramentas_jardim,garden_tools,ابزار باغبانی
fashion_bolsas_e_acessorios,fashion_bags_accessories,لوازم کیف مد
eletroportateis,small_appliances,لوازم کوچک
consoles_games,consoles_games,بازی های کنسول
audio,audio,سمعی
fashion_calcados,fashion_shoes,کفش مد
cool_stuff,cool_stuff,چیزهای جالب
malas_acessorios,luggage_accessories,لوازم چمدان
climatizacao,air_conditioning,تهویه مطبوع
construcao_ferramentas_construcao,construction_tools_construction,ساخت ابزار ساخت و ساز
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture, آشپزخانه مبلمان باغ خشکشویی
construcao_ferramentas_jardim,costruction_tools_garden,باغ دستگاهها ساخت
fashion_roupa_masculina,fashion_male_clothing,لباس مردانه مد
pet_shop,pet_shop,حیوانات خانگی
moveis_escritorio,office_furniture,مبلمان اداری
market_place,market_place,بازار
eletronicos,electronics,الکترونیک
eletrodomesticos,home_appliances,لوازم خانگی
artigos_de_festas,party_supplies,لوازم مهمانی
casa_conforto,home_confort,آسایش خانه
construcao_ferramentas_ferramentas,costruction_tools_tools,ابزار ساخت و ساز ابزار
agro_industria_e_comercio,agro_industry_and_commerce,صنایع کشاورزی و بازرگانی
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,تشک و تودوزی مبلمان
livros_tecnicos,books_technical,کتاب فنی
casa_construcao,home_construction,ساخت و ساز خانه
instrumentos_musicais,musical_instruments,آلات موسیقی
moveis_sala,furniture_living_room, مبلمان اتاق نشیمن
construcao_ferramentas_iluminacao,construction_tools_lights,چراغ های ساخت و ساز
industria_comercio_e_negocios,industry_commerce_and_business,تجارت و تجارت صنعت
alimentos,food,غذا
artes,art,هنر
moveis_quarto,furniture_bedroom,مبلمان اتاق خواب
livros_interesse_geral,books_general_interest,کتابهای عمومی
construcao_ferramentas_seguranca,construction_tools_safety,ابزار ایمنی
fashion_underwear_e_moda_praia,fashion_underwear_beach,مد لباس زیر ساحل 
fashion_esporte,fashion_sport,مد_ورزش
sinalizacao_e_seguranca,signaling_and_security,سیگنالینگ و امنیت
pcs,computers,رایانه
artigos_de_natal,christmas_supplies,تأمین کنندگان کریسمس
fashion_roupa_feminina,fashio_female_clothing,لباس زنانه مد
eletrodomesticos_2,home_appliances_2,لوازم خانگی 2
livros_importados,books_imported,کتابهای وارداتی
bebidas,drinks,نوشیدنی
cine_foto,cine_photo,عکس سینمایی
la_cuisine,la_cuisine,آشپزخانه
musica,music,موسقی
casa_conforto_2,home_comfort_2,راحتی خانگی 2
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,لوازم کوچک اجاق گاز و قهوه
cds_dvds_musicais,cds_dvds_musicals,سی دی دی وی دی موزیکال
dvds_blu_ray,dvds_blu_ray,دی وی دی بلو ری
flores,flowers,گل ها
artes_e_artesanato,arts_and_craftmanship,هنر و صنعتگری
fraldas_higiene,diapers_and_hygiene,پوشک و بهداشت
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,لباس کودکانه مد
seguros_e_servicos,security_and_services,امنیت و خدمات
,,
